feature,excl_in_n_genes,min_enr,mean_enr,COL4A1_n_in,COL4A1_n_out,COL4A1_enr,COL4A2_n_in,COL4A2_n_out,COL4A2_enr,COL4A3_n_in,COL4A3_n_out,COL4A3_enr,COL4A4_n_in,COL4A4_n_out,COL4A4_enr,COL4A5_n_in,COL4A5_n_out,COL4A5_enr,COL4A6_n_in,COL4A6_n_out,COL4A6_enr
20405,0,0.433,2.663,25,184,1.66,16,215,2.63,14,184,2.73,18,203,5.52,5,326,0.43,12,311,3.01
661,0,0.433,0.983,52,843,0.75,36,1491,0.85,4,331,0.43,8,535,0.93,7,140,1.41,18,927,1.52
11059,0,0.433,0.92,57,608,1.14,21,771,0.96,7,580,0.43,6,707,0.53,29,594,1.38,14,1015,1.08
3062,0,0.432,0.841,88,663,1.62,36,1028,1.24,25,1520,0.59,18,1761,0.64,56,3661,0.43,22,3225,0.53
14201,0,0.432,1.065,9,254,0.43,8,347,0.81,2,136,0.53,2,183,0.68,8,84,2.69,4,251,1.24
8097,0,0.432,1.468,46,297,1.89,31,357,3.07,9,421,0.77,12,634,1.18,19,1243,0.43,17,901,1.47
25103,0,0.432,1.467,10,255,0.48,21,534,1.39,1,83,0.43,1,107,0.58,2,29,1.95,20,393,3.97
9872,0,0.432,0.95,2,22,1.11,1,28,1.26,1,83,0.43,1,56,1.11,4,121,0.93,2,183,0.85
18167,0,0.431,1.242,9,75,1.46,2,75,0.94,7,98,2.56,4,162,1.54,4,219,0.52,1,181,0.43
9550,0,0.431,0.787,637,5892,1.32,210,9236,0.8,228,9551,0.86,111,12247,0.56,432,16236,0.75,95,17203,0.43
21965,0,0.431,0.666,334,3744,1.09,98,5426,0.64,103,6204,0.6,68,7586,0.56,321,13272,0.68,69,12495,0.43
24532,0,0.431,1.514,7,198,0.43,7,206,1.2,3,222,0.48,8,169,2.95,13,105,3.5,1,150,0.52
23241,0,0.431,0.983,20,338,0.72,8,475,0.59,5,193,0.93,2,289,0.43,5,126,1.12,12,446,2.1
17382,0,0.431,1.946,77,1334,0.7,21,1722,0.43,11,177,2.23,1,107,0.58,2,14,4.04,7,148,3.69
22565,0,0.43,0.713,41,468,1.07,20,704,1.0,11,850,0.46,13,1252,0.65,39,2562,0.43,17,1996,0.66
7207,0,0.43,1.394,430,6313,0.83,302,9437,1.13,32,2669,0.43,66,3827,1.07,110,1243,2.5,167,5441,2.4
26527,0,0.43,0.692,44,645,0.83,15,919,0.58,8,499,0.57,5,725,0.43,29,783,1.05,10,1125,0.69
29292,0,0.429,1.566,147,2538,0.71,100,3626,0.97,8,668,0.43,11,1217,0.56,23,175,3.71,62,1608,3.01
2316,0,0.429,0.75,204,3012,0.83,99,2998,1.17,58,3746,0.56,41,4304,0.59,237,7188,0.93,34,6185,0.43
25779,0,0.429,1.621,133,3001,0.54,37,3044,0.43,36,1367,0.94,90,1685,3.33,141,1261,3.16,54,3178,1.33
30715,0,0.429,0.676,876,10552,1.01,322,13777,0.83,169,14118,0.43,195,17508,0.69,486,24993,0.55,182,25994,0.55
32250,0,0.429,1.096,30,404,0.91,19,414,1.62,21,652,1.15,15,839,1.11,29,1910,0.43,20,1154,1.35
8828,0,0.428,0.615,344,4753,0.88,129,6512,0.7,145,8018,0.65,95,10017,0.59,225,14507,0.44,88,16036,0.43
22805,0,0.428,0.722,112,1528,0.89,40,2073,0.68,16,1200,0.48,24,1493,1.0,23,1518,0.43,20,1834,0.85
16149,0,0.428,0.954,56,785,0.87,28,994,0.99,4,262,0.55,3,437,0.43,13,178,2.06,5,477,0.82
24331,0,0.427,0.809,211,2016,1.28,88,2493,1.25,37,2779,0.48,43,3477,0.77,78,5158,0.43,37,4382,0.66
6533,0,0.427,0.935,125,1662,0.92,42,1726,0.86,53,1500,1.27,13,1787,0.45,109,1824,1.69,13,2378,0.43
12143,0,0.427,1.249,42,561,0.91,34,807,1.49,4,336,0.43,5,433,0.72,20,234,2.42,13,662,1.53
20755,0,0.427,1.499,5,48,1.27,3,39,2.72,1,84,0.43,2,84,1.48,6,142,1.19,4,164,1.9
14799,0,0.427,1.459,71,897,0.97,42,1356,1.09,5,420,0.43,12,662,1.13,24,219,3.1,25,957,2.04
18680,0,0.426,0.685,496,4582,1.32,122,6674,0.65,149,7321,0.73,81,9539,0.53,279,17053,0.46,80,14647,0.43
13553,0,0.426,0.96,276,2172,1.55,99,3280,1.07,118,3746,1.13,64,5324,0.75,165,10937,0.43,86,7964,0.84
13074,0,0.425,0.738,97,1549,0.76,24,1992,0.43,12,706,0.61,6,818,0.46,25,527,1.34,13,1218,0.83
5266,0,0.425,0.795,302,3676,1.0,96,3926,0.86,32,1388,0.83,23,1694,0.85,6,399,0.42,18,1746,0.8
18084,0,0.425,0.793,92,1224,0.92,40,1621,0.87,23,1141,0.72,9,1320,0.42,66,1898,0.98,23,2134,0.84
1744,0,0.425,0.705,232,2923,0.97,82,4666,0.62,101,6165,0.59,70,7250,0.6,322,8862,1.03,73,13425,0.42
21860,0,0.424,1.134,38,717,0.65,11,916,0.42,11,418,0.94,8,514,0.97,25,283,2.5,12,706,1.33
3415,0,0.424,1.006,63,1199,0.64,37,1479,0.88,7,592,0.42,11,786,0.87,13,231,1.59,31,1488,1.63
17153,0,0.424,0.763,89,1022,1.06,32,1487,0.76,26,1163,0.8,23,1423,1.01,19,1029,0.52,14,2579,0.42
26114,0,0.424,1.398,48,571,1.03,27,857,1.11,5,423,0.42,10,565,1.1,27,229,3.33,16,899,1.39
22319,0,0.424,0.709,21,436,0.59,19,518,1.3,9,576,0.56,4,588,0.42,22,723,0.86,6,883,0.53
27215,0,0.424,0.748,5,107,0.57,1,77,0.46,2,114,0.63,1,147,0.42,6,173,0.98,4,219,1.43
24312,0,0.424,0.966,167,3112,0.65,83,3985,0.74,20,1693,0.42,16,2222,0.45,64,856,2.11,61,3345,1.42
18919,0,0.423,0.779,286,4499,0.78,148,4871,1.07,75,5009,0.54,35,5150,0.42,210,5296,1.12,74,7778,0.74
14769,0,0.423,0.718,27,314,1.05,9,470,0.68,5,424,0.42,9,525,1.07,15,754,0.56,6,881,0.53
16235,0,0.423,0.726,86,1258,0.83,50,1671,1.06,28,1653,0.61,24,2042,0.73,53,3543,0.42,30,3328,0.7
4057,0,0.422,0.663,467,5315,1.07,168,7672,0.77,96,8118,0.42,87,9783,0.55,356,13724,0.73,86,15898,0.42
20802,0,0.422,0.813,18,249,0.88,9,285,1.12,3,182,0.59,3,215,0.87,10,283,1.0,2,370,0.42
18124,0,0.422,0.77,9,110,1.0,4,164,0.86,5,203,0.88,4,270,0.92,7,369,0.54,2,370,0.42
6259,0,0.422,0.954,44,564,0.95,11,747,0.52,4,340,0.42,10,476,1.31,14,312,1.27,11,685,1.25
12824,0,0.422,1.859,9,33,3.33,3,61,1.74,4,60,2.39,2,69,1.81,2,134,0.42,2,106,1.47
24567,0,0.421,0.829,273,2173,1.53,62,3464,0.63,126,3770,1.2,59,5096,0.72,99,5973,0.47,40,7418,0.42
29976,0,0.421,0.912,95,1340,0.86,59,2177,0.96,5,233,0.77,3,444,0.42,1,27,1.05,13,719,1.41
24152,0,0.421,0.922,30,208,1.76,4,287,0.49,4,261,0.55,10,391,1.59,6,403,0.42,5,544,0.72
27729,0,0.42,1.637,2,58,0.42,3,59,1.8,1,55,0.65,2,43,2.9,2,40,1.41,2,59,2.65
7731,0,0.42,1.208,56,509,1.34,12,616,0.69,6,512,0.42,7,620,0.7,41,346,3.35,10,1044,0.75
23058,0,0.42,1.008,61,999,0.74,25,1263,0.7,5,378,0.47,4,593,0.42,13,160,2.3,13,717,1.42
29796,0,0.42,1.828,5,30,2.03,3,52,2.04,11,76,5.19,1,82,0.76,3,159,0.53,1,186,0.42
8782,0,0.419,1.127,25,403,0.76,9,512,0.62,12,243,1.77,2,297,0.42,13,203,1.81,9,508,1.38
27664,0,0.419,0.977,36,688,0.64,30,968,1.09,2,171,0.42,2,228,0.55,3,57,1.49,9,419,1.68
26443,0,0.419,0.684,480,5791,1.01,248,8303,1.05,109,7728,0.51,94,9431,0.62,254,14494,0.5,80,14910,0.42
32188,0,0.419,0.998,19,208,1.11,3,253,0.42,2,103,0.7,2,120,1.04,5,82,1.72,3,235,1.0
17490,0,0.418,0.808,527,4392,1.46,148,6167,0.85,88,4185,0.75,49,4657,0.66,136,5393,0.71,31,5784,0.42
27115,0,0.418,0.819,537,4995,1.31,213,7832,0.96,169,7481,0.81,54,8041,0.42,357,11355,0.89,106,15768,0.52
14228,0,0.418,1.018,6,87,0.84,5,125,1.41,3,193,0.56,5,159,1.96,5,338,0.42,5,425,0.92
23105,0,0.418,0.82,44,731,0.73,10,773,0.46,16,631,0.91,5,745,0.42,39,881,1.25,19,1289,1.15
23533,0,0.418,0.845,31,379,1.0,13,472,0.97,9,453,0.71,3,447,0.42,21,583,1.02,9,736,0.95
31735,0,0.418,1.332,18,322,0.68,13,458,1.0,10,457,0.78,4,596,0.42,34,442,2.17,17,453,2.93
18895,0,0.417,1.772,48,619,0.95,34,967,1.24,3,258,0.42,9,380,1.48,13,80,4.59,17,677,1.96
28566,0,0.417,1.164,137,1166,1.43,65,1465,1.57,43,1730,0.89,58,2533,1.43,73,4950,0.42,62,3862,1.25
18952,0,0.416,0.738,15,244,0.75,5,339,0.52,12,305,1.41,5,429,0.73,8,372,0.61,3,563,0.42
168,0,0.416,0.966,80,1468,0.66,18,1529,0.42,22,1408,0.56,35,2083,1.05,74,943,2.22,55,4818,0.89
10945,0,0.416,0.928,25,225,1.35,9,334,0.95,20,487,1.47,9,705,0.8,14,952,0.42,8,1075,0.58
3667,0,0.415,0.873,44,844,0.64,26,989,0.93,7,554,0.45,4,600,0.42,21,377,1.57,11,698,1.23
798,0,0.415,0.636,373,4494,1.01,137,6365,0.76,106,6927,0.55,77,8045,0.6,226,13158,0.49,63,11849,0.42
